"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U22","DFN","2.5788mm","21.0124mm","2.5788mm","21.0124mm","1.8288mm","19.8374mm","T","0.00","STS30"
"R214","R_0603","3.2766mm","25.2476mm","3.2766mm","25.2476mm","3.2766mm","26.0731mm","T","270.00","0R-1%"
"C254","C_0402","2.7686mm","23.2664mm","2.7686mm","23.2664mm","3.2686mm","23.2664mm","T","180.00","0.1uF"
"J18","503480-0500","82.973mm","40.942mm","82.973mm","40.942mm","81.648mm","39.942mm","T","180.00","50340-08-0500"
"D20","0201","78.5865mm","40.1066mm","78.5865mm","40.1066mm","78.764mm","40.1066mm","T","180.00","VS5V0BC1EST15R"
"C253","C_0402","78.4mm","40.989mm","78.4mm","40.989mm","77.9mm","40.989mm","T","360.00","104"
"C252","C_0603","78mm","42.2414mm","78mm","42.2414mm","77.1745mm","42.2414mm","T","360.00","4.7uF"
"R213","R_0603","77.6mm","36.8mm","77.6mm","36.8mm","77.6mm","35.9745mm","T","90.00","0R-1%"
"C238","C_0402","79.834mm","38.327mm","79.834mm","38.327mm","80.334mm","38.327mm","T","180.00","0.1uF"
"TP89","TESTPOINT2","38.5mm","1.8772mm","38.5mm","1.8772mm","38.5mm","1.8772mm","B","270.00","Test Point"
"TP88","TESTPOINT2","54mm","13.3772mm","54mm","13.3772mm","54mm","13.3772mm","B","270.00","Test Point"
"TP87","TESTPOINT2","32mm","1.7772mm","32mm","1.7772mm","32mm","1.7772mm","B","270.00","Test Point"
"TP86","TESTPOINT2","68.5mm","23.6mm","68.5mm","23.6mm","68.5mm","23.6mm","B","270.00","Test Point"
"TP85","TESTPOINT2","36.5mm","1.8772mm","36.5mm","1.8772mm","36.5mm","1.8772mm","B","270.00","Test Point"
"TP50","TESTPOINT2","68mm","27.5mm","68mm","27.5mm","68mm","27.5mm","B","270.00","Test Point"
"TP49","TESTPOINT2","8mm","16.5mm","8mm","16.5mm","8mm","16.5mm","B","270.00","Test Point"
"TP48","TESTPOINT2","75mm","27.5mm","75mm","27.5mm","75mm","27.5mm","B","270.00","Test Point"
"TP45","TESTPOINT1","70.9mm","9.2mm","70.9mm","9.2mm","70.9mm","9.2mm","B","90.00","Test Point"
"TP44","TESTPOINT1","81mm","6.8mm","81mm","6.8mm","81mm","6.8mm","B","90.00","Test Point"
"TP43","TESTPOINT1","73.8mm","7mm","73.8mm","7mm","73.8mm","7mm","B","90.00","Test Point"
"TP35","TESTPOINT2","73mm","24.5mm","73mm","24.5mm","73mm","24.5mm","B","270.00","Test Point"
"TP34","TESTPOINT2","58mm","20mm","58mm","20mm","58mm","20mm","B","270.00","Test Point"
"TP33","TESTPOINT2","54mm","45mm","54mm","45mm","54mm","45mm","B","270.00","Test Point"
"TP32","TESTPOINT2","54mm","35.8mm","54mm","35.8mm","54mm","35.8mm","B","270.00","Test Point"
"TP31","TESTPOINT2","70mm","27.5mm","70mm","27.5mm","70mm","27.5mm","B","270.00","Test Point"
"TP30","TESTPOINT2","42.5mm","33mm","42.5mm","33mm","42.5mm","33mm","B","270.00","Test Point"
"TP29","TESTPOINT2","38.2mm","24.2mm","38.2mm","24.2mm","38.2mm","24.2mm","B","270.00","Test Point"
"TP28","TESTPOINT2","38.2mm","26.2mm","38.2mm","26.2mm","38.2mm","26.2mm","B","270.00","Test Point"
"TP27","TESTPOINT2","64mm","25.2mm","64mm","25.2mm","64mm","25.2mm","B","270.00","Test Point"
"TP26","TESTPOINT2","35mm","25mm","35mm","25mm","35mm","25mm","B","270.00","Test Point"
"TP23","TESTPOINT2","66mm","5.6mm","66mm","5.6mm","66mm","5.6mm","B","270.00","Test Point"
"TP22","TESTPOINT2","87mm","40mm","87mm","40mm","87mm","40mm","B","270.00","Test Point"
"TP16","TESTPOINT2","81.8mm","3.4mm","81.8mm","3.4mm","81.8mm","3.4mm","T","90.00","Test Point"
"TP15","TESTPOINT2","4mm","3.5mm","4mm","3.5mm","4mm","3.5mm","T","90.00","Test Point"
"TP14","TESTPOINT2","56.5mm","8.2mm","56.5mm","8.2mm","56.5mm","8.2mm","B","270.00","Test Point"
"TP13","TESTPOINT2","63.7mm","28.2mm","63.7mm","28.2mm","63.7mm","28.2mm","B","90.00","Test Point"
"TP12","TESTPOINT2","78.5mm","40mm","78.5mm","40mm","78.5mm","40mm","B","90.00","Test Point"
"TP11","TESTPOINT2","73mm","45mm","73mm","45mm","73mm","45mm","B","90.00","Test Point"
"TP10","TESTPOINT2","18.6304mm","2.9972mm","18.6304mm","2.9972mm","18.6304mm","2.9972mm","B","90.00","Test Point"
"TP9","TESTPOINT2","20.5mm","14mm","20.5mm","14mm","20.5mm","14mm","B","90.00","Test Point"
"TP8","TESTPOINT2","76.5mm","44.9772mm","76.5mm","44.9772mm","76.5mm","44.9772mm","B","90.00","Test Point"
"TP7","TESTPOINT2","72.3mm","35mm","72.3mm","35mm","72.3mm","35mm","B","90.00","Test Point"
"TP6","TESTPOINT2","75mm","36.5mm","75mm","36.5mm","75mm","36.5mm","B","270.00","Test Point"
"TP5","TESTPOINT2","9.5mm","13mm","9.5mm","13mm","9.5mm","13mm","T","90.00","32K"
"TP4","TESTPOINT1","54.5mm","4.9mm","54.5mm","4.9mm","54.5mm","4.9mm","T","90.00","Test Point"
"TP3","TESTPOINT1","54.5mm","6.9mm","54.5mm","6.9mm","54.5mm","6.9mm","T","90.00","Test Point"
"TP2","TESTPOINT1","84mm","40mm","84mm","40mm","84mm","40mm","B","270.00","Test Point"
"L19","L_0603","57.7464mm","27.0002mm","57.7464mm","27.0002mm","56.9209mm","27.0002mm","B","360.00","600R-1.5A"
"C251","C_0603","57.7464mm","25.6032mm","57.7464mm","25.6032mm","58.5719mm","25.6032mm","B","180.00","10uF"
"TP42","TESTPOINT1","46.9mm","3.6mm","46.9mm","3.6mm","46.9mm","3.6mm","B","90.00","Test Point"
"U10","LGA-12","81.826mm","44.3694mm","81.826mm","44.3694mm","81.076mm","45.1194mm","B","270.00","LIS2DH12"
"U19","SC70","79.184mm","35.982mm","79.184mm","35.982mm","78.534mm","37.107mm","B","270.00","MAX8891EXK18+T"
"U16","SO8N","10.8186mm","9.4604mm","10.8186mm","9.4604mm","8.5936mm","10.4354mm","T","0.00","PCF8563/AT8563S"
"R199","R_0402","79.9714mm","38.989mm","79.9714mm","38.989mm","79.9714mm","39.489mm","B","270.00","10K-1%"
"R198","R_0603","74.6506mm","3.4542mm","74.6506mm","3.4542mm","75.4761mm","3.4542mm","B","180.00","0R-1%"
"R197","R_0402","78.5744mm","27.178mm","78.5744mm","27.178mm","79.0744mm","27.178mm","B","180.00","10K-1%"
"R196","R_0402","78.5998mm","28.1432mm","78.5998mm","28.1432mm","79.0998mm","28.1432mm","B","180.00","10K-1%"
"R195","R_0603","79.1332mm","29.3116mm","79.1332mm","29.3116mm","78.3077mm","29.3116mm","B","360.00","0R-1%"
"R194","R_0402","14.4648mm","10.4394mm","14.4648mm","10.4394mm","14.4648mm","9.9394mm","T","90.00","10K"
"R190","R_0402","56.553mm","13.229mm","56.553mm","13.229mm","56.053mm","13.229mm","B","360.00","100K-1%"
"R189","R_0402","55.6636mm","20.5232mm","55.6636mm","20.5232mm","55.1636mm","20.5232mm","B","360.00","1.8M-1%"
"R188","R_0402","52.895mm","20.5486mm","52.895mm","20.5486mm","52.395mm","20.5486mm","B","360.00","200K-1%"
