"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R161","R_0402","83.185mm","-26.877mm","83.185mm","-26.877mm","83.185mm","-27.377mm","B","90.00","0R-1%"
"R160","R_0402","86.741mm","-28.782mm","86.741mm","-28.782mm","86.741mm","-28.282mm","B","270.00","0R-1%"
"C209","C0402","64.643mm","-43.26mm","64.643mm","-43.26mm","64.643mm","-43.76mm","B","90.00","104"
"C208","C0402","63.754mm","-43.26mm","63.754mm","-43.26mm","63.754mm","-43.76mm","B","90.00","1uF"
"C207","C0402","60.198mm","-20.654mm","60.198mm","-20.654mm","60.198mm","-20.154mm","T","270.00","104"
"TP27","TESTPOINT2","51.054mm","-41.609mm","51.054mm","-41.609mm","51.054mm","-41.609mm","B","90.00","Test Point"
"RN11","RCA50-8/3","40.8777mm","-15.002mm","40.878mm","-15.002mm","41.4426mm","-14.2519mm","B","180.00","100R*4"
"TP46","TESTPOINT2","70.739mm","-11.51mm","70.739mm","-11.51mm","70.739mm","-11.51mm","B","90.00","Test Point"
"TP14","TESTPOINT2","70.866mm","-18.495mm","70.866mm","-18.495mm","70.866mm","-18.495mm","B","90.00","Test Point"
"NO TOUCH","NYD-NOtouch","-723.8627mm","-1059.4986mm","6.35mm","-27.512mm","-723.8627mm","-1059.4986mm","B","180.00","xxx"
"U12","LGA-12","79.629mm","-1.985mm","79.629mm","-1.985mm","78.879mm","-2.735mm","B","360.00","DS_DA226"
"L7","5040","30.226mm","-1.858mm","30.226mm","-1.858mm","30.226mm","-0.408mm","B","270.00","10uH-DCR<0.1R-1.5A/ELL4LG100MA"
"U3","QFN48_6X6","64.643mm","-8.081mm","64.643mm","-8.081mm","67.693mm","-10.281mm","T","180.00","AXP209"
"NO TOUCH","NYD-NOtouch","-723.8627mm","-1059.4986mm","81.915mm","-32.084mm","-723.8627mm","-1059.4986mm","T","0.00","xxx"
"TP66","TESTPOINT2","86.614mm","-2.239mm","86.614mm","-2.239mm","86.614mm","-2.239mm","T","90.00","Test Point"
"TP65","TESTPOINT2","83.566mm","-44.403mm","83.566mm","-44.403mm","83.566mm","-44.403mm","T","90.00","Test Point"
"TP64","TESTPOINT2","3.81mm","-37.672mm","3.81mm","-37.672mm","3.81mm","-37.672mm","T","90.00","Test Point"
"TP63","TESTPOINT2","1.397mm","-1.731mm","1.397mm","-1.731mm","1.397mm","-1.731mm","T","90.00","Test Point"
"TP62","TESTPOINT2","86.487mm","-11.002mm","86.487mm","-11.002mm","86.487mm","-11.002mm","B","90.00","Test Point"
"TP61","TESTPOINT2","3.175mm","-0.842mm","3.175mm","-0.842mm","3.175mm","-0.842mm","B","90.00","Test Point"
"TP60","TESTPOINT2","1.651mm","-37.672mm","1.651mm","-37.672mm","1.651mm","-37.672mm","B","90.00","Test Point"
"TP59","TESTPOINT2","86.36mm","-44.276mm","86.36mm","-44.276mm","86.36mm","-44.276mm","B","90.00","Test Point"
"TP58","TESTPOINT2","64.008mm","-13.542mm","64.008mm","-13.542mm","64.008mm","-13.542mm","B","90.00","Test Point"
"TP57","TESTPOINT2","86.7mm","-0.8mm","86.7mm","-0.8mm","86.7mm","-0.8mm","B","90.00","Test Point"
"TP56","TESTPOINT2","84.7mm","-0.8mm","84.7mm","-0.8mm","84.7mm","-0.8mm","B","90.00","Test Point"
"TP55","TESTPOINT2","40.386mm","-9.351mm","40.386mm","-9.351mm","40.386mm","-9.351mm","B","90.00","Test Point"
"TP54","TESTPOINT2","37.973mm","-16.336mm","37.973mm","-16.336mm","37.973mm","-16.336mm","B","90.00","Test Point"
"TP53","TESTPOINT2","47.879mm","-13.542mm","47.879mm","-13.542mm","47.879mm","-13.542mm","B","90.00","Test Point"
"TP52","TESTPOINT2","33.02mm","-6.684mm","33.02mm","-6.684mm","33.02mm","-6.684mm","B","90.00","Test Point"
"TP51","TESTPOINT2","33.02mm","-10.748mm","33.02mm","-10.748mm","33.02mm","-10.748mm","B","90.00","Test Point"
